,Column Names,,,,
Cdi Event Topic,CDI Event Topic,,,,
Cdi Excluded Email Id,CDI Excluded Email Id,,,,
Cdi Execute Sendid,CDI Execute Sendid,,,,
Cdi Execute Social Post Id,CDI Execute Social Post Id,,,,
Cdi Exit Page,CDI Exit Page,,,,
Cdi Facebook,CDI Facebook,,,,
Cdi Facebook Connection Id,CDI Facebook Connection Id,,,,
Cdi Facebook Content,CDI Facebook Content,,,,
Cdi Facebook Image Url,CDI Facebook Image Url,,,,
Cdi Failed,CDI Failed,,,,
Cdi Failures,CDI Failures,,,,
Cdi Field Id,CDI Field Id,,,,
Cdi Filter Id,CDI Filter Id,,,,
Cdi First Name,CDI First Name,,,,
Cdi First Visit,CDI First Visit,,,,
Cdi Flash,CDI Flash,,,,
Cdi Form Capture Field Id,CDI Form Capture Field Id,,,,
Cdi Form Capture Id,CDI Form Capture Id,,,,
Cdi Form Capture Id Entity Type,CDI Form Capture Id Entity Type,,,,
Cdi Form Capture Id Name,CDI Form Capture Id Name,,,,
Cdi Form Field Id,CDI Form Field Id,,,,
Cdi Form Field Id Entity Type,CDI Form Field Id Entity Type,,,,
Cdi Form Field Id Name,CDI Form Field Id Name,,,,
Cdi Form Tag,CDI Form Tag,,,,
Cdi From,CDI From,,,,
Cdi From Email,CDI From Email,,,,
Cdi From Email 2,CDI From Email 2,,,,
Cdi From Id,CDI From Id,,,,
Cdi From Id Entity Type,CDI From Id Entity Type,,,,
Cdi From Id Name,CDI From Id Name,,,,
Cdi From Id Yomi Name,CDI From Id Yomi Name,,,,
Cdi From Name,CDI From Name,,,,
Cdi From Name 2,CDI From Name 2,,,,
Cdi From Record Owner,CDI From Record Owner,,,,
Cdi From Record Owner 2,CDI From Record Owner 2,,,,
Cdi From User Id,CDI From User Id,,,,
Cdi From User Id Entity Type,CDI From User Id Entity Type,,,,
Cdi From User Id Name,CDI From User Id Name,,,,
Cdi From User Id Yomi Name,CDI From User Id Yomi Name,,,,
Cdi Grade,CDI Grade,,,,
Cdi G Tracking,CDI G Tracking,,,,
Cdi Has Manual Trigger,CDI Has Manual Trigger,,,,
Cdi Host,CDI Host,,,,
Cdi Id,CDI Id,,,,
Cdi Identifiedon,CDI Identifiedon,,,,
Cdi Image,CDI Image,,,,
Cdi Import File,CDI Import File,,,,
Cdi Import Finished On,CDI Import Finished On,,,,
Cdi Import Id,CDI Import Id,,,,
Cdi Import Started On,CDI Import Started On,,,,
Cdi Import Status,CDI Import Status,,,,
Cdi Incident Id,CDI Incident Id,,,,
Cdi Incident Id Entity Type,CDI Incident Id Entity Type,,,,
Cdi Incident Id Name,CDI Incident Id Name,,,,
Cdi Include Other Option,CDI Include Other Option,,,,
Cdi Industry,CDI Industry,,,,
Cdi In Session Duration Minutes,CDI In Session Duration Minutes,,,,
Cdi Interest Rating,CDI Interest Rating,,,,
Cdi Ip,CDI Ip,,,,
Cdi Ip Organization Id,CDI Ip Organization Id,,,,
Cdi Ip Organization Id Entity Type,CDI Ip Organization Id Entity Type,,,,
Cdi Ip Organization Id Name,CDI Ip Organization Id Name,,,,
Cdi Is Verified,CDI Is Verified,,,,
Cdi Job Title,CDI Job Title,,,,
Cdi Joint Ime,CDI Joint Ime,,,,
Cdi Key,CDI Key,,,,
Cdi Keywords,CDI Keywords,,,,
Cdi Label,CDI Label,,,,
Cdi Language,CDI Language,,,,
Cdi Last Name,CDI Last Name,,,,
Cdi Latitude,CDI Latitude,,,,
Cdi Lead,CDI Lead,,,,
Cdi Lead Entity Type,CDI Lead Entity Type,,,,
Cdi Lead Field,CDI Lead Field,,,,
Cdi Lead Field Length,CDI Lead Field Length,,,,
Cdi Lead Id,CDI Lead Id,,,,
Cdi Lead Id Entity Type,CDI Lead Id Entity Type,,,,
Cdi Lead Id Name,CDI Lead Id Name,,,,
Cdi Lead Id Yomi Name,CDI Lead Id Yomi Name,,,,
Cdi Lead Name,CDI Lead Name,,,,
Cdi Lead Yomi Name,CDI Lead Yomi Name,,,,
Cdi Leave Time,CDI Leave Time,,,,
Cdi Link,CDI Link,,,,
Cdi Link Clicked,CDI Link Clicked,,,,
Cdi Linkedin,CDI Linkedin,,,,
Cdi Location,CDI Location,,,,
Cdi Longitude,CDI Longitude,,,,
Cdi Mapping,CDI Mapping,,,,
Cdi Marketing Lists For Attach Id,CDI Marketing Lists For Attach Id,,,,
Cdi Marketing Lists For Attach Id Entity Type,CDI Marketing Lists For Attach Id Entity Type,,,,
Cdi Marketing Lists For Attach Id Name,CDI Marketing Lists For Attach Id Name,,,,
Cdi Marketing Lists For Detach Id,CDI Marketing Lists For Detach Id,,,,
Cdi Marketing Lists For Detach Id Entity Type,CDI Marketing Lists For Detach Id Entity Type,,,,
Cdi Marketing Lists For Detach Id Name,CDI Marketing Lists For Detach Id Name,,,,
Cdi Message,CDI Message,,,,
Cdi Message Count,CDI Message Count,,,,
Cdi Message Id,CDI Message Id,,,,
Cdi Messages,CDI Messages,,,,
Cdi Mobile Phone,CDI Mobile Phone,,,,
Cdi Name,CDI Name,,,,
Cdi New Records,CDI New Records,,,,
Cdi Number Of Surveys Submitted,CDI Number Of Surveys Submitted,,,,
Cdi Number Register Ed,CDI Number Register Ed,,,,
Cdi Opened Invitation,CDI Opened Invitation,,,,
Cdi Opens Count,CDI Opens Count,,,,
Cdi Opera Ting System,CDI Opera Ting System,,,,
Cdi Options,CDI Options,,,,
Cdi Organization,CDI Organization,,,,
Cdi Organizer,CDI Organizer,,,,
Cdi Organizer Description,CDI Organizer Description,,,,
Cdi Orgkey,CDI Orgkey,,,,
Cdi Os,CDI Os,,,,
Cdi Other Option Label,CDI Other Option Label,,,,
Cdi Override,CDI Override,,,,
Cdi Page View Id,CDI Page View Id,,,,
Cdi Parent Event Id,CDI Parent Event Id,,,,
Cdi Parent Event Id Entity Type,CDI Parent Event Id Entity Type,,,,
Cdi Parent Event Id Name,CDI Parent Event Id Name,,,,
Cdi Partitionkey,CDI Partitionkey,,,,
Cdi Per Form Split Test,CDI Per Form Split Test,,,,
Cdi Phone,CDI Phone,,,,
Cdi Phone Number,CDI Phone Number,,,,
Cdi Plat Form,CDI Plat Form,,,,
Cdi Polls,CDI Polls,,,,
Cdi Polls Response Rate,CDI Polls Response Rate,,,,
Cdi Postal Code,CDI Postal Code,,,,
Cdi Post Content,CDI Post Content,,,,
Cdi Posted Facebook Address,CDI Posted Facebook Address,,,,
Cdi Posted Field Id,CDI Posted Field Id,,,,
Cdi Posted Form Id,CDI Posted Form Id,,,,
Cdi Posted Form Id Entity Type,CDI Posted Form Id Entity Type,,,,
Cdi Posted Form Id Name,CDI Posted Form Id Name,,,,
Cdi Posted Label,CDI Posted Label,,,,
Cdi Postedon,CDI Postedon,,,,
Cdi Posted Subscription Id,CDI Posted Subscription Id,,,,
Cdi Posted Subscription Id Entity Type,CDI Posted Subscription Id Entity Type,,,,
Cdi Posted Subscription Id Name,CDI Posted Subscription Id Name,,,,
Cdi Posted Survey Id,CDI Posted Survey Id,,,,
Cdi Posted Survey Id Entity Type,CDI Posted Survey Id Entity Type,,,,
Cdi Posted Survey Id Name,CDI Posted Survey Id Name,,,,
Cdi Post Id,CDI Post Id,,,,
Cdi Post Immediately,CDI Post Immediately,,,,
Cdi Poston,CDI Poston,,,,
Cdi Post To Facebook,CDI Post To Facebook,,,,
Cdi Preference,CDI Preference,,,,
Cdi Preheader,CDI Preheader,,,,
Cdi Priority,CDI Priority,,,,
Cdi Profile Id,CDI Profile Id,,,,
Cdi Profile Id Entity Type,CDI Profile Id Entity Type,,,,
Cdi Profile Id Name,CDI Profile Id Name,,,,
Cdi Profile Name,CDI Profile Name,,,,
Cdi Qa Question Sasked,CDI Qa Question Sasked,,,,
Cdi Quantity,CDI Quantity,,,,
Cdi Question,CDI Question,,,,
Cdi Questionsand Comments,CDI Questionsand Comments,,,,
Cdi Questions Asked By Attendee,CDI Questions Asked By Attendee,,,,
Cdi Quick Send Template,CDI Quick Send Template,,,,
Cdi Reason,CDI Reason,,,,
Cdi Recipients Grid,CDI Recipients Grid,,,,
Cdi Recipient Xml,CDI Recipient Xml,,,,
Cdi Referrer,CDI Referrer,,,,
Cdi Referring Host,CDI Referring Host,,,,
Cdi Registrant Key,CDI Registrant Key,,,,
Cdi Registration Approval Method,CDI Registration Approval Method,,,,
Cdi Registration Date,CDI Registration Date,,,,
Cdi Registration Status,CDI Registration Status,,,,
Cdi Registration Url,CDI Registration Url,,,,
Cdi Remove From Marketing List,CDI Remove From Marketing List,,,,
Cdi Rendered Html,CDI Rendered Html,,,,
Cdi Reply To,CDI Reply To,,,,
Cdi Required,CDI Required,,,,
Cdi Row Key,CDI Row Key,,,,
Cdi Rss Email,CDI Rss Email,,,,
Cdi Schedualed End Time,CDI Schedualed End Time,,,,
Cdi Scheduled Duration Minutes,CDI Scheduled Duration Minutes,,,,
Cdi Scheduled Start Date Time,CDI Scheduled Start Date Time,,,,
Cdi Score,CDI Score,,,,
Cdi Security Session Id,CDI Security Session Id,,,,
Cdi Select Automatically,CDI Select Automatically,,,,
Cdi Select Winner After Amount,CDI Select Winner After Amount,,,,
Cdi Select Winner After Type,CDI Select Winner After Type,,,,
Cdi Send Email Id,CDI Send Email Id,,,,
Cdi Sender Phone Number,CDI Sender Phone Number,,,,
Cdi Send Immediately,CDI Send Immediately,,,,
Cdi Send On,CDI Send On,,,,
Cdi Sendwinning Strategy On,CDI Sendwinning Strategy On,,,,
Cdi Sent Email Id,CDI Sent Email Id,,,,
Cdi Sent Email Id Entity Type,CDI Sent Email Id Entity Type,,,,
Cdi Sent Email Id Name,CDI Sent Email Id Name,,,,
Cdi Sent Email Statistics Data,CDI Sent Email Statistics Data,,,,
Cdi Sent On,CDI Sent On,,,,
Cdi Setting Id,CDI Setting Id,,,,
Cdi Social,CDI Social,,,,
Cdi Social Action Type,CDI Social Action Type,,,,
Cdi Social Click Id,CDI Social Click Id,,,,
Cdi Social Network,CDI Social Network,,,,
Cdi Social Post,CDI Social Post,,,,
Cdi Social Post Entity Type,CDI Social Post Entity Type,,,,
Cdi Social Post Id,CDI Social Post Id,,,,
Cdi Social Post Id Entity Type,CDI Social Post Id Entity Type,,,,
Cdi Social Post Id Name,CDI Social Post Id Name,,,,
Cdi Social Post Name,CDI Social Post Name,,,,
Cdi Social Profile,CDI Social Profile,,,,
Cdi Social Type,CDI Social Type,,,,
Cdi Source,CDI Source,,,,
Cdi Spam Count,CDI Spam Count,,,,
Cdi Split Size,CDI Split Size,,,,
Cdi Split Strategy,CDI Split Strategy,,,,
Cdi Started On,CDI Started On,,,,
Cdi State,CDI State,,,,
Cdi State Province,CDI State Province,,,,
Cdi Status Message,CDI Status Message,,,,
Cdi Subject,CDI Subject,,,,
Cdi Subject 2,CDI Subject 2,,,,
Cdi Subscription List Id,CDI Subscription List Id,,,,
Cdi Subscription List Id Entity Type,CDI Subscription List Id Entity Type,,,,
Cdi Subscription List Id Name,CDI Subscription List Id Name,,,,
Cdi Subscription Preference Id,CDI Subscription Preference Id,,,,
Cdi Success,CDI Success,,,,
Cdi Success Uri,CDI Success Uri,,,,
Cdi Survey Answer Id,CDI Survey Answer Id,,,,
Cdi Survey Questionid,CDI Survey Questionid,,,,
Cdi Survey Questionid Entity Type,CDI Survey Questionid Entity Type,,,,
Cdi Survey Questionid Name,CDI Survey Questionid Name,,,,
Cdi Survey Response Rate,CDI Survey Response Rate,,,,
Cdi Tags,CDI Tags,,,,
Cdi Tax,CDI Tax,,,,
Cdi Tax Base,CDI Tax Base,,,,
Cdi Team,CDI Team,,,,
Cdi Throttle Send,CDI Throttle Send,,,,
Cdi Time,CDI Time,,,,
Cdi Timestamp,CDI Timestamp,,,,
Cdi Title,CDI Title,,,,
Cdi To Email,CDI To Email,,,,
Cdi Total Attendees,CDI Total Attendees,,,,
Cdi Total Pages,CDI Total Pages,,,,
Cdi Total Payment,CDI Total Payment,,,,
Cdi Total Payment Base,CDI Total Payment Base,,,,
Cdi Total Score,CDI Total Score,,,,
Cdi Total Successes,CDI Total Successes,,,,
Cdi Track Events,CDI Track Events,,,,
Cdi Twitter,CDI Twitter,,,,
Cdi Type,CDI Type,,,,
Cdi Unique Clicks Count,CDI Unique Clicks Count,,,,
Cdi Unique Opens Count,CDI Unique Opens Count,,,,
Cdi Unsubscribed,CDI Unsubscribed,,,,
Cdi Unsubscribe Id,CDI Unsubscribe Id,,,,
Cdi Unsubscribes Count,CDI Unsubscribes Count,,,,
Cdi Updated Contacts,CDI Updated Contacts,,,,
Cdi Updated Leads,CDI Updated Leads,,,,
Cdi Uri,CDI Uri,,,,
Cdi Url,CDI Url,,,,
Cdi User Session Id,CDI User Session Id,,,,
Cdi Value,CDI Value,,,,
Cdi Value N,CDI Value N,,,,
Cdi Venue City,CDI Venue City,,,,
Cdi Venue Country,CDI Venue Country,,,,
Cdi Venue Latitude,CDI Venue Latitude,,,,
Cdi Venue Longitude,CDI Venue Longitude,,,,
Cdi Venue Name,CDI Venue Name,,,,
Cdi Venue Phone,CDI Venue Phone,,,,
Cdi Venue Region,CDI Venue Region,,,,
Cdi Venue Zip,CDI Venue Zip,,,,
Cdi Version,CDI Version,,,,
Cdi Viewed On,CDI Viewed On,,,,
Cdi Visit,CDI Visit,,,,
Cdi Visit Entity Type,CDI Visit Entity Type,,,,
Cdi Visit Id,CDI Visit Id,,,,
Cdi Visit Id Entity Type,CDI Visit Id Entity Type,,,,
Cdi Visit Id Name,CDI Visit Id Name,,,,
Cdi Visit Name,CDI Visit Name,,,,
Cdi Visitor Entity,CDI Visitor Entity,,,,
Cdi Visitor Key,CDI Visitor Key,,,,
Cdi Web Content Id,CDI Web Content Id,,,,
Cdi Web Content Id Entity Type,CDI Web Content Id Entity Type,,,,
Cdi Web Content Id Name,CDI Web Content Id Name,,,,
Cdi Web Responsive,CDI Web Responsive,,,,
Cdi Web Visits Generated,CDI Web Visits Generated,,,,
Cdi Web Visits Generated Date,CDI Web Visits Generated Date,,,,
Cdi Web Visits Generated State,CDI Web Visits Generated State,,,,
Cdi Winning Strategy,CDI Winning Strategy,,,,
Cdi Work Address 1,CDI Work Address 1,,,,
Cdi Work Address 2,CDI Work Address 2,,,,
Cdi Work City,CDI Work City,,,,
Cdi Work Country,CDI Work Country,,,,
Cdi Work Country Name,CDI Work Country Name,,,,
Cdi Workpostal Code,CDI Workpostal Code,,,,
Cdi Work Region,CDI Work Region,,,,
Cdi Zip Postal Code,CDI Zip Postal Code,,,,
Changed On,Changed On,,,,
Channel Type Code,Channel Type Code,,,,
Check Email,Check Email,,,,
Childrens Names,Childrens Names,,,,
City,City,,,,
Clicks Count,Clicks Count,,,,
Client Data,Client Data,,,,
Client Feature Set,Client Feature Set,,,,
Client Type,Client Type,,,,
Closed By,Closed By,,,,
Closed By Entity Type,Closed By Entity Type,,,,
Closed By Name,Closed By Name,,,,
Closed By Yomi Name,Closed By Yomi Name,,,,
Closed On,Closed On,,,,
Close Probability,Close Probability,,,,
Code Name,Code Name,,,,
Column Set Xml,Column Set Xml,,,,
Command Definition,Command Definition,,,,
Command Definition Id,Command Definition Id,,,,
Command Name,Command Name,,,,
Comments,Comments,,,,
Commit Message,Commit Message,,,,
Community,Community,,,,
Company,Company,,,,
Company Name,Company Name,,,,
Competitor Address Id,Competitor Address Id,,,,
Competitor Id,Competitor Id,,,,
Competitor Product Id,Competitor Product Id,,,,
Competitor Sales Literature Id,Competitor Sales Literature Id,,,,
Completed Instances,Completed Instances,,,,
Completed On,Completed On,,,,
Complete Final Proposal,Complete Final Proposal,,,,
Complete Internal Review,Complete Internal Review,,,,
Component State,Component State,,,,
Composite,Composite,,,,
Compressed,Compressed,,,,
Computed Failure Time,Computed Failure Time,,,,
Computed Target As Of Today Decimal,Computed Target As Of Today Decimal,,,,
Computed Target As Of Today Integer,Computed Target As Of Today Integer,,,,
Computed Target As Of Today Money,Computed Target As Of Today Money,,,,
Computed Target As Of Today Money Base,Computed Target As Of Today Money Base,,,,
Computed Target As Of Today Percentage Achieved,Computed Target As Of Today Percentage Achieved,,,,
Computed Warning Time,Computed Warning Time,,,,
Conditional Formatting,Conditional Formatting,,,,
Config Xml,Config Xml,,,,
Confirm Interest,Confirm Interest,,,,
Connection Id,Connection Id,,,,
Connection References,Connection References,,,,
Connection Role Association Id,Connection Role Association Id,,,,
Connection Role Id,Connection Role Id,,,,
Connection Role Id Unique,Connection Role Id Unique,,,,
Consider Only Goal Owners Records,Consider Only Goal Owners Records,,,,
Constraints,Constraints,,,,
Contact Field,Contact Field,,,,
Contact Id,Contact Id,,,,
Contact Id Entity Type,Contact Id Entity Type,,,,
Contact Id Name,Contact Id Name,,,,
Contact Id Yomi Name,Contact Id Yomi Name,,,,
Contact Invoice Id,Contact Invoice Id,,,,
Contact Lead Id,Contact Lead Id,,,,
Contact Order Id,Contact Order Id,,,,
Contact Quote Id,Contact Quote Id,,,,
Contains Social Profile,Contains Social Profile,,,,
Content,Content,,,,
Context Uri,Context Uri,,,,
Contract Detail Id,Contract Detail Id,,,,
Contract Detail Id Entity Type,Contract Detail Id Entity Type,,,,
Contract Detail Id Name,Contract Detail Id Name,,,,
Contract Id,Contract Id,,,,
Contract Id Entity Type,Contract Id Entity Type,,,,
Contract Id Name,Contract Id Name,,,,
Contract Language,Contract Language,,,,
Contract Number,Contract Number,,,,
Contract Prefix,Contract Prefix,,,,
Contract Service Level Code,Contract Service Level Code,,,,
Contract Template Abbreviation,Contract Template Abbreviation,,,,
Contract Template Id,Contract Template Id,,,,
Contract Template Id Entity Type,Contract Template Id Entity Type,,,,
Contract Template Id Name,Contract Template Id Name,,,,
Conversation Index,Conversation Index,,,,
Conversation Tracking Id,Conversation Tracking Id,,,,
Correlation Id,Correlation Id,,,,
Correlation Method,Correlation Method,,,,
Cortana Proactive Experience Enabled,Cortana Proactive Experience Enabled,,,,
Cost,Cost,,,,
Cost Base,Cost Base,,,,
Cost Center,Cost Center,,,,
Country,Country,,,,
County,County,,,,
Cover Page Name,Cover Page Name,,,,
Created By,Created By,,,,
Created By Entity Type,Created By Entity Type,,,,
Created By Client Version,Created By Client Version,,,,
Created By Contact,Created By Contact,,,,
Created By Contact Entity Type,Created By Contact Entity Type,,,,
Created By Contact Name,Created By Contact Name,,,,
Created By External Party,Created By External Party,,,,
Created By External Party Entity Type,Created By External Party Entity Type,,,,
Created By External Party Name,Created By External Party Name,,,,
Created By External Party Yomi Name,Created By External Party Yomi Name,,,,
Created By Name,Created By Name,,,,
Created By Yomi Name,Created By Yomi Name,,,,
Created From Code,Created From Code,,,,
Created On,Created On,,,,
Created On Behalf By,Created On Behalf By,,,,
Created On Behalf By Entity Type,Created On Behalf By Entity Type,,,,
Created On Behalf By Contact,Created On Behalf By Contact,,,,
Created On Behalf By Contact Entity Type,Created On Behalf By Contact Entity Type,,,,
Created On Behalf By Contact Name,Created On Behalf By Contact Name,,,,
Created On Behalf By Contact Yomi Name,Created On Behalf By Contact Yomi Name,,,,
Created On Behalf By Name,Created On Behalf By Name,,,,
Created On Behalf By Yomi Name,Created On Behalf By Yomi Name,,,,
Created Time,Created Time,,,,
Create Products Without Parent In Active State,Create Products Without Parent In Active State,,,,
Create Stage,Create Stage,,,,
Credential Info,Credential Info,,,,
Credit Limit,Credit Limit,,,,
Credit Limit Base,Credit Limit Base,,,,
Credit On Hold,Credit On Hold,,,,
Crm Task Assigned Unique Id,Crm Task Assigned Unique Id,,,,
Currency Decimalprecision,Currency Decimalprecision,,,,
Currency Display Option,Currency Display Option,,,,
Currency Format Code,Currency Format Code,,,,
Currency Name,Currency Name,,,,
Currency Precision,Currency Precision,,,,
Currency Symbol,Currency Symbol,,,,
Current Bulk Operation Number,Current Bulk Operation Number,,,,
Current Campaign Number,Current Campaign Number,,,,
Current Case Number,Current Case Number,,,,
Current Category Number,Current Category Number,,,,
Current Contract Number,Current Contract Number,,,,
Current Cost,Current Cost,,,,
Current Cost Base,Current Cost Base,,,,
Current Import Sequence Number,Current Import Sequence Number,,,,
Current Invoice Number,Current Invoice Number,,,,
Current Ka Number,Current Ka Number,,,,
Current Kb Number,Current Kb Number,,,,
Current Order Number,Current Order Number,,,,
Current Parsed Table Number,Current Parsed Table Number,,,,
Current Quote Number,Current Quote Number,,,,
Current Situation,Current Situation,,,,
Customer,Customer,,,,
Customer Address Id,Customer Address Id,,,,
Customer Contact Ed,Customer Contact Ed,,,,
Customer Id,Customer Id,,,,
Customer Id Entity Type,Customer Id Entity Type,,,,
Customer Id Name,Customer Id Name,,,,
Customer Id Type,Customer Id Type,,,,
Customer Id Yomi Name,Customer Id Yomi Name,,,,
Customer Need,Customer Need,,,,
Customer Pain Points,Customer Pain Points,,,,
Customers,Customers,,,,
Customer Satisfaction Code,Customer Satisfaction Code,,,,
Customer Size Code,Customer Size Code,,,,
Customer Type,Customer Type,,,,
Customer Type Code,Customer Type Code,,,,
Custom Rollup Field Decimal,Custom Rollup Field Decimal,,,,
Custom Rollup Field Integer,Custom Rollup Field Integer,,,,
Custom Rollup Field Money,Custom Rollup Field Money,,,,
Custom Rollup Field Money Base,Custom Rollup Field Money Base,,,,
Custom Rollup Field String,Custom Rollup Field String,,,,
Data,Data,,,,
Data Encryption Key,Data Encryption Key,,,,
Data Validation Mode For Export To Excel,Data Validation Mode For Export To Excel,,,,
Date Delivered,Date Delivered,,,,
Date Format Code,Date Format Code,,,,
Date Format String,Date Format String,,,,
Date Fulfilled,Date Fulfilled,,,,
Date Separator,Date Separator,,,,
Day Light Bias,Day Light Bias,,,,
Day Light Day,Day Light Day,,,,
Day Light Day Of Week,Day Light Day Of Week,,,,
Day Light Hour,Day Light Hour,,,,
Day Light Minute,Day Light Minute,,,,
Day Light Month,Day Light Month,,,,
Day Light Name,Day Light Name,,,,
Day Light Second,Day Light Second,,,,
Day Light Year,Day Light Year,,,,
Day Of Month,Day Of Month,,,,
Days Of Week Mask,Days Of Week Mask,,,,
Days Since Record Last Modified Max Value,Days Since Record Last Modified Max Value,,,,
Decimal Symbol,Decimal Symbol,,,,
Decision Maker,Decision Maker,,,,
Decrease Remainingon,Decrease Remainingon,,,,
Decrement Entitlement Term,Decrement Entitlement Term,,,,
Default Calendar View,Default Calendar View,,,,
Default Country Code,Default Country Code,,,,
Default Crm Custom Name,Default Crm Custom Name,,,,
Default Dash Board Id,Default Dash Board Id,,,,
Default Email Server Profile Id,Default Email Server Profile Id,,,,
Default Email Server Profile Id Entity Type,Default Email Server Profile Id Entity Type,,,,
Default Email Server Profile Id Name,Default Email Server Profile Id Name,,,,
Default Email Settings,Default Email Settings,,,,
Default Filters Populated,Default Filters Populated,,,,
Default Mailbox,Default Mailbox,,,,
Default Mailbox Entity Type,Default Mailbox Entity Type,,,,
Default Mailbox Name,Default Mailbox Name,,,,
Default Mobile Offline Profile Id,Default Mobile Offline Profile Id,,,,
Default Mobile Offline Profile Id Entity Type,Default Mobile Offline Profile Id Entity Type,,,,
Default Mobile Offline Profile Id Name,Default Mobile Offline Profile Id Name,,,,
Default Odbfolder Name,Default Odbfolder Name,,,,
Default Price Level Id,Default Price Level Id,,,,
Default Price Level Id Entity Type,Default Price Level Id Entity Type,,,,
Default Price Level Id Name,Default Price Level Id Name,,,,
Default Recurrence End Range Type,Default Recurrence End Range Type,,,,
Default Search Experience,Default Search Experience,,,,
Default Theme Data,Default Theme Data,,,,
Default Uom Id,Default Uom Id,,,,
Default Uom Id Entity Type,Default Uom Id Entity Type,,,,
Default Uom Id Name,Default Uom Id Name,,,,
Default Uom Schedule Id,Default Uom Schedule Id,,,,
Default Uom Schedule Id Entity Type,Default Uom Schedule Id Entity Type,,,,
Default Uom Schedule Id Name,Default Uom Schedule Id Name,,,,
Delayed Email Send Time,Delayed Email Send Time,,,,
Delegated Admin User Id,Delegated Admin User Id,,,,
Deleted Exception Slist,Deleted Exception Slist,,,,
Delete Stage,Delete Stage,,,,
Delivered,Delivered,,,,
Deliveries Count,Deliveries Count,,,,
Delivery Attempts,Delivery Attempts,,,,
Delivery Last Attempted On,Delivery Last Attempted On,,,,
Delivery Priority Code,Delivery Priority Code,,,,
Delivery Receipt Requested,Delivery Receipt Requested,,,,
Department,Department,,,,
Depth,Depth,,,,
Description,Description,,,,
Descriptor,Descriptor,,,,
Develop Proposal,Develop Proposal,,,,
Device,Device,,,,
Direction Code,Direction Code,,,,
Disabled Reason,Disabled Reason,,,,
Disable Social Care,Disable Social Care,,,,
Discount Amount,Discount Amount,,,,
Discount Amount Base,Discount Amount Base,,,,
Discount Calculation Method,Discount Calculation Method,,,,
Discount Id,Discount Id,,,,
Discount Percentage,Discount Percentage,,,,
Discount Type Id,Discount Type Id,,,,
Discount Type Id Entity Type,Discount Type Id Entity Type,,,,
Discount Type Id Name,Discount Type Id Name,,,,
Display In Service Views,Display In Service Views,,,,
Display Name,Display Name,,,,
Display Navigation Tour,Display Navigation Tour,,,,
Division Name,Division Name,,,,
Dmt Import State,Dmt Import State,,,,
Document Body,Document Body,,,,
Domain Id,Domain Id,,,,
Domain Name,Domain Name,,,,
Do Not Bulk Email,Do Not Bulk Email,,,,
Do Not Bulk Postal Mail,Do Not Bulk Postal Mail,,,,
Do Not Email,Do Not Email,,,,
Do Not Fax,Do Not Fax,,,,
Do Not Phone,Do Not Phone,,,,
Do Not Postal Mail,Do Not Postal Mail,,,,
Do Not Send Mm,Do Not Send Mm,,,,
Do Not Send On Optout,Do Not Send On Optout,,,,
Due Date,Due Date,,,,
Duration,Duration,,,,
Editor,Editor,,,,
Editor Type,Editor Type,,,,
Education Code,Education Code,,,,
Effective Date Time,Effective Date Time,,,,
Effective End,Effective End,,,,
Effective End Date,Effective End Date,,,,
Effective From,Effective From,,,,
Effective Start,Effective Start,,,,
Effective Start Date,Effective Start Date,,,,
Effective To,Effective To,,,,
Effectivity Calendar,Effectivity Calendar,,,,
Effort,Effort,,,,
Effort Required,Effort Required,,,,
Email,Email,,,,
Email Activity Id,Email Activity Id,,,,
Email Address,Email Address,,,,
Email Address 1,Email Address 1,,,,
Email Address 2,Email Address 2,,,,
Email Address 3,Email Address 3,,,,
Email Address Field,Email Address Field,,,,
Email Client,Email Client,,,,
Email Client Preview Data,Email Client Preview Data,,,,
Email Connection Channel,Email Connection Channel,,,,
Email Correlation Enabled,Email Correlation Enabled,,,,
Email Event Id,Email Event Id,,,,
Email Interaction Reply Id,Email Interaction Reply Id,,,,
Email Interaction Time,Email Interaction Time,,,,
Email Password,Email Password,,,,
Email Reminder Expirytime,Email Reminder Expirytime,,,,
Email Reminder Status,Email Reminder Status,,,,
Email Reminder Text,Email Reminder Text,,,,
Email Reminder Type,Email Reminder Type,,,,
Email Router Access Approval,Email Router Access Approval,,,,
Email Sender,Email Sender,,,,
Email Sender Entity Type,Email Sender Entity Type,,,,
Email Sender Name,Email Sender Name,,,,
Email Sender Object Type Code,Email Sender Object Type Code,,,,
Email Sender Yomi Name,Email Sender Yomi Name,,,,
Email Sendid,Email Sendid,,,,
Email Send Polling Period,Email Send Polling Period,,,,
Email Server Profile,Email Server Profile,,,,
Email Server Profile Entity Type,Email Server Profile Entity Type,,,,
Email Server Profile Name,Email Server Profile Name,,,,
Email Status,Email Status,,,,
Email Template Id,Email Template Id,,,,
Email Tracking Id,Email Tracking Id,,,,
Email User Name,Email User Name,,,,
Embedded App,Embedded App,,,,
Employee Contact Id,Employee Contact Id,,,,
Employee Contact Id Entity Type,Employee Contact Id Entity Type,,,,
Employee Contact Id Name,Employee Contact Id Name,,,,
Employee Contact Id Yomi Name,Employee Contact Id Yomi Name,,,,
Employee Id,Employee Id,,,,
Enable Bing Maps Integration,Enable Bing Maps Integration,,,,
Enabled For Act,Enabled For Act,,,,
Enabled For Incoming Email,Enabled For Incoming Email,,,,
